From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Alcoba L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Alcoba1 A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Alcoba1 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Alcoba2 A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Alcoba2 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Balcon A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Balcon Alcoba1 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Balcon Alcoba2 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Baño A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Baño A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Baño Cocina A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Baño L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Baño L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Baño L3;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Baño L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Baño L5;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Cocina A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Cocina A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Cocina L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Ingreso Piso2 CR23;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Local L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Pasillo Piso2 CR23;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Patio L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Rincon L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Rincon L3;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta Sala Comedor A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marco Vacios;PhysicalAreas;name;Marco Vacio Balcon A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marco Vacios;PhysicalAreas;name;Marco Vacio PFI Alcoba2 A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marco Vacios;PhysicalAreas;name;Marco Vacio PFI Baño A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marco Vacios;PhysicalAreas;name;Marco Vacio PFI Baño Cocina A202;;Uno a Muchos Bidirecccional No.5
